"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
24,"management","single","university.degree","no","yes","no","cellular","apr","thu",124,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
48,"entrepreneur","married","university.degree","no","yes","no","cellular","jul","thu",413,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
29,"technician","divorced","professional.course","no","no","no","cellular","nov","tue",55,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
30,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","fri",176,4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
44,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","wed",676,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
49,"self-employed","single","professional.course","unknown","yes","no","telephone","nov","tue",126,4,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
56,"management","married","university.degree","no","no","no","telephone","aug","tue",108,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.859,5076.2,"no"
58,"self-employed","divorced","professional.course","no","no","no","telephone","jun","thu",197,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
33,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","wed",61,23,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
52,"technician","married","basic.6y","unknown","no","no","cellular","may","thu",152,3,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
41,"entrepreneur","single","professional.course","no","yes","no","cellular","apr","wed",103,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"no"
29,"admin.","single","university.degree","no","yes","no","telephone","may","wed",248,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
37,"blue-collar","single","professional.course","no","yes","yes","cellular","may","wed",161,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
31,"admin.","married","high.school","no","no","no","cellular","jul","thu",293,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","tue",117,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
38,"admin.","divorced","university.degree","no","yes","no","cellular","jul","tue",175,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
36,"admin.","single","university.degree","no","no","no","cellular","aug","wed",173,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
57,"management","married","university.degree","no","no","no","cellular","mar","mon",341,2,999,0,"nonexistent",-1.8,93.369,-34.8,0.635,5008.7,"yes"
34,"services","married","high.school","no","no","no","telephone","may","fri",103,5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
27,"blue-collar","married","basic.9y","no","no","no","telephone","may","thu",44,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",156,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
51,"admin.","married","professional.course","unknown","no","no","telephone","may","wed",12,11,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
39,"technician","married","high.school","no","no","no","cellular","jul","thu",28,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
56,"unemployed","divorced","basic.4y","no","no","no","cellular","mar","wed",577,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.634,5008.7,"yes"
46,"admin.","married","university.degree","no","no","no","cellular","may","thu",227,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
33,"entrepreneur","single","high.school","no","yes","yes","cellular","may","wed",328,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
59,"retired","married","basic.6y","unknown","no","no","telephone","jun","wed",235,5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
30,"blue-collar","single","basic.9y","no","no","no","cellular","nov","thu",197,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
32,"services","married","basic.4y","unknown","no","no","cellular","jul","mon",322,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
70,"retired","married","basic.4y","no","yes","no","cellular","dec","wed",325,1,999,2,"failure",-3,92.713,-33,0.715,5023.5,"no"
35,"housemaid","single","university.degree","no","no","yes","cellular","may","mon",126,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
39,"technician","married","basic.6y","no","no","yes","telephone","may","mon",155,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"management","married","university.degree","no","no","no","cellular","mar","mon",116,1,999,0,"nonexistent",-1.8,92.843,-50,1.811,5099.1,"yes"
48,"admin.","married","university.degree","no","yes","no","telephone","may","tue",159,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"admin.","married","basic.9y","unknown","no","yes","telephone","jun","fri",24,4,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
35,"admin.","married","university.degree","no","no","no","cellular","nov","wed",682,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
53,"blue-collar","single","unknown","no","yes","no","cellular","may","wed",320,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
59,"housemaid","married","basic.4y","no","yes","no","telephone","may","wed",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"unemployed","married","basic.9y","no","yes","yes","cellular","may","mon",21,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
35,"admin.","divorced","university.degree","no","yes","no","telephone","may","fri",192,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
47,"admin.","married","university.degree","unknown","no","no","telephone","may","tue",262,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
36,"technician","single","high.school","no","no","no","cellular","aug","thu",444,7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
41,"housemaid","married","high.school","no","no","yes","telephone","jul","tue",86,1,999,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,"no"
33,"technician","married","professional.course","no","yes","yes","cellular","may","fri",500,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
25,"student","single","university.degree","no","yes","yes","cellular","jul","wed",77,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
35,"technician","married","basic.6y","no","no","no","telephone","may","wed",104,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
21,"blue-collar","single","basic.9y","no","no","no","cellular","jul","fri",127,2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
37,"student","divorced","university.degree","no","yes","yes","cellular","may","thu",417,2,999,0,"nonexistent",-1.8,93.876,-40,0.699,5008.7,"yes"
58,"retired","married","unknown","no","unknown","unknown","telephone","may","tue",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
36,"self-employed","married","basic.9y","unknown","yes","yes","cellular","aug","thu",593,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
41,"technician","married","professional.course","no","yes","no","cellular","nov","mon",545,2,999,0,"nonexistent",-1.1,94.767,-50.8,1.039,4963.6,"yes"
35,"blue-collar","single","basic.9y","no","yes","no","cellular","may","wed",181,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
44,"technician","married","professional.course","no","yes","no","cellular","aug","tue",339,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
29,"entrepreneur","married","professional.course","no","yes","no","cellular","jul","thu",125,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
50,"services","single","basic.4y","no","yes","no","telephone","jun","tue",355,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
22,"services","single","high.school","no","yes","no","cellular","jun","mon",147,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no"
27,"services","single","high.school","no","yes","yes","cellular","may","mon",665,3,999,1,"failure",-1.8,92.893,-46.2,1.244,5099.1,"no"
44,"technician","married","high.school","no","yes","yes","telephone","jun","wed",491,3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
37,"entrepreneur","married","university.degree","no","no","no","telephone","jun","fri",351,2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
39,"services","married","high.school","no","yes","no","telephone","may","fri",86,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"blue-collar","married","unknown","no","no","no","cellular","aug","mon",160,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
40,"management","married","university.degree","unknown","yes","no","cellular","aug","tue",110,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
44,"management","married","basic.9y","no","yes","no","cellular","aug","tue",100,5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
63,"retired","married","unknown","no","no","no","cellular","apr","wed",150,1,999,1,"failure",-1.8,93.075,-47.1,1.445,5099.1,"yes"
29,"admin.","married","high.school","no","no","no","cellular","may","tue",278,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
28,"blue-collar","married","unknown","unknown","no","no","telephone","jun","wed",445,3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
27,"services","single","high.school","no","yes","no","cellular","jul","thu",148,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
39,"admin.","married","university.degree","unknown","yes","no","telephone","jul","wed",197,4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
41,"blue-collar","divorced","basic.9y","unknown","yes","no","telephone","may","thu",187,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
47,"admin.","married","university.degree","unknown","no","no","telephone","may","tue",202,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
53,"services","married","basic.9y","unknown","yes","no","cellular","aug","mon",136,2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
55,"services","divorced","high.school","unknown","yes","yes","cellular","jul","tue",47,7,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
56,"retired","married","university.degree","unknown","no","no","cellular","jul","tue",361,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
31,"admin.","married","university.degree","no","no","no","cellular","nov","wed",596,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
